State/Region,State/Region Pcode,District, Township ,Township Pcode,,"Population 
(2022 Projected)",,% People with disabilities (Age 5 yrs+),% FEMALE,% CHILDREN  (Age 0-17 yrs),% ADULTS ( Age 18-59yrs),% ELDERS  (Age 60+),"IDPs 
(projection)","Returned, resettled and locally integrated IDPs
(projection)","Non-displaced stateless people in Rakhine
",Rest of the population
Kachin,MMR001,Myitkyina,Myitkyina,MMR001001,MMR001001,387555.0313,,0.088977616,0.515311299,0.337485297,0.57738241,0.085132293,14364,2729,,370462.0313
Kachin,MMR001,Myitkyina,Waingmaw,MMR001002,MMR001002,153377.0225,,0.088977616,0.502386086,0.38198367,0.531717119,0.08629921,31793,6041,,115543.0225
Kachin,MMR001,Myitkyina,Injangyang,MMR001003,MMR001003,2104.985958,,0.088977616,0.451925676,0.384527423,0.568500784,0.046971792,597,113,,1394.985958
Kachin,MMR001,Myitkyina,Tanai,MMR001004,MMR001004,73155.62113,,0.088977616,0.465824482,0.35445704,0.592987341,0.052555619,1434,272,,71449.62113
Kachin,MMR001,Myitkyina,Chipwi,MMR001005,MMR001005,24096.95791,,0.088977616,0.487167383,0.456107684,0.48101464,0.062877676,2617,497,,20982.95791
Kachin,MMR001,Myitkyina,Tsawlaw,MMR001006,MMR001006,7867.595786,,0.088977616,0.486709112,0.472516156,0.450676616,0.076807228,79,15,,7773.595786
Kachin,MMR001,Mohnyin,Mohnyin,MMR001007,MMR001007,256126.3762,,0.088977616,0.514991901,0.346844188,0.560004311,0.093151501,2068,393,,253665.3762
Kachin,MMR001,Mohnyin,Mogaung,MMR001008,MMR001008,162575.5166,,0.088977616,0.521057392,0.359472693,0.546562733,0.093964575,5867,1115,,155593.5166
Kachin,MMR001,Mohnyin,Hpakant,MMR001009,MMR001009,402320.1722,,0.088977616,0.366035785,0.248657067,0.714552437,0.036790496,10869,2065,,389386.1722
Kachin,MMR001,Bhamo,Bhamo,MMR001010,MMR001010,166451.6811,,0.088977616,0.50938745,0.33705793,0.574275357,0.088666713,12247,2327,,151877.6811
Kachin,MMR001,Bhamo,Shwegu,MMR001011,MMR001011,115705.849,,0.088977616,0.502536777,0.362560009,0.559254334,0.078185657,2246,427,,113032.849
Kachin,MMR001,Bhamo,Momauk,MMR001012,MMR001012,77294.47306,,0.088977616,0.506876405,0.350326123,0.549498267,0.10017561,28425,5401,,43468.47306
Kachin,MMR001,Bhamo,Mansi,MMR001013,MMR001013,64861.74641,,0.088977616,0.505387453,0.351283436,0.564450965,0.084265598,14880,2827,,47154.74641
Kachin,MMR001,Puta-O,Puta-O,MMR001014,MMR001014,74395.26694,,0.088977616,0.505628541,0.41761142,0.497521684,0.084866897,4320,821,,69254.26694
Kachin,MMR001,Puta-O,Sumprabum,MMR001015,MMR001015,3106.96003,,0.088977616,0.489677006,0.403628316,0.519728311,0.076643373,1149,218,,1739.96003
Kachin,MMR001,Puta-O,Machanbaw,MMR001016,MMR001016,10911.12055,,0.088977616,0.49475886,0.410480428,0.498810959,0.090708613,0,0,,10911.12055
Kachin,MMR001,Puta-O,Nawngmun,MMR001017,MMR001017,8705.692807,,0.088977616,0.49264366,0.432269143,0.476248932,0.091481925,87,17,,8601.692807
Kachin,MMR001,Puta-O,Khaunglanhpu,MMR001018,MMR001018,14052.93033,,0.088977616,0.497828817,0.371210699,0.548033714,0.080755587,0,0,,14052.93033
Kayah,MMR002,Loikaw,Loikaw,MMR002001,MMR002001,154754.1349,,0.108318941,0.512729394,0.295804043,0.622845065,0.081350892,32880,6247,,115627.1349
Kayah,MMR002,Loikaw,Demoso,MMR002002,MMR002002,94740.75451,,0.108318941,0.512275069,0.33450063,0.594999161,0.070500209,75792,14400,,0
Kayah,MMR002,Loikaw,Hpruso,MMR002003,MMR002003,35201.21862,,0.108318941,0.512155995,0.343631453,0.582779956,0.073588591,28161,5351,,1689.218615
Kayah,MMR002,Loikaw,Shadaw,MMR002004,MMR002004,8120.2868,,0.108318941,0.506043373,0.325858705,0.586963108,0.087178187,364,69,,7687.2868
Kayah,MMR002,Bawlake,Bawlake,MMR002005,MMR002005,13169.95324,,0.108318941,0.450345091,0.275365923,0.667023227,0.05761085,310,59,,12800.95324
Kayah,MMR002,Bawlake,Hpasawng,MMR002006,MMR002006,30565.01455,,0.108318941,0.459548025,0.293887543,0.652219919,0.053892539,120,23,,30422.01455
Kayah,MMR002,Bawlake,Mese,MMR002007,MMR002007,7538.637339,,0.108318941,0.462926012,0.283209105,0.664249344,0.052541551,836,159,,6543.637339
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,MMR003001,461756.3028,,0.166313027,0.523427401,0.372031308,0.502624268,0.125344423,3914,744,,457098.3028
Kayin,MMR003,Hpa-An,Hlaingbwe,MMR003002,MMR003002,288669.2346,,0.166313027,0.516908114,0.407400855,0.476147052,0.116452093,10951,2081,,275637.2346
Kayin,MMR003,Hpapun,Hpapun,MMR003003,MMR003003,123257,,0.166313027,0.491554433,0.397886389,0.525054187,0.077059424,42749,8122,,72386
Kayin,MMR003,Hpa-An,Thandaunggyi,MMR003004,MMR003004,103949.2867,,0.166313027,0.498506223,0.409817201,0.514228112,0.075954687,24328,4622,,74999.28675
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,MMR003005,226192.5262,,0.166313027,0.493275623,0.36166519,0.574017406,0.064317404,47766,9076,,169350.5262
Kayin,MMR003,Kawkareik,Kawkareik,MMR003006,MMR003006,240336.6926,,0.166313027,0.528121086,0.373867044,0.503090588,0.123042368,26976,5125,,208235.6926
Kayin,MMR003,Kawkareik,Kyainseikgyi,MMR003007,MMR003007,276205.6406,,0.166313027,0.510569679,0.395252249,0.516965591,0.08778216,14744,2801,,258660.6406
Chin,MMR004,Falam,Falam,MMR004001,MMR004001,53870.41165,,0.206297108,0.51272717,0.443492174,0.466602528,0.089905299,2269,431,,51170.41165
Chin,MMR004,Hakha,Hakha,MMR004002,MMR004002,54189.56114,,0.206297108,0.527576793,0.417065494,0.482387944,0.100546562,12270,2331,,39588.56114
Chin,MMR004,Hakha,Thantlang,MMR004003,MMR004003,56507.12685,,0.206297108,0.518667694,0.470142937,0.437262833,0.09259423,27439,5213,,23855.12685
Chin,MMR004,Falam,Tedim,MMR004004,MMR004004,98125.99012,,0.206297108,0.524566024,0.48318365,0.444001843,0.072814506,20,4,,98101.99012
Chin,MMR004,Falam,Tonzang,MMR004005,MMR004005,35660.42705,,0.206297108,0.510720969,0.504932554,0.430449008,0.064618438,357,68,,35235.42705
Chin,MMR004,Mindat,Mindat,MMR004006,MMR004006,47623.78854,,0.206297108,0.540191354,0.495907,0.419481084,0.084611916,13685,2600,,31338.78854
Chin,MMR004,Matupi,Matupi,MMR004007,MMR004007,57597.89583,,0.206297108,0.533650622,0.464214574,0.433104921,0.102680505,12624,2399,,42574.89583
Chin,MMR004,Mindat,Kanpetlet,MMR004008,MMR004008,24026.116,,0.206297108,0.523469814,0.507195061,0.422049332,0.070755607,8510,1617,,13899.116
Chin,MMR004,Matupi,Paletwa,MMR004009,MMR004009,108375.6828,,0.206297108,0.521975523,0.475029078,0.451135756,0.073835166,2575,489,,105311.6828
Sagaing,MMR005,Sagaing,Sagaing,MMR005001,MMR005001,330767.403,,0.096137431,0.536235826,0.272287442,0.593414713,0.134297845,3308,629,,326830.403
Sagaing,MMR005,Sagaing,Myinmu,MMR005002,MMR005002,115942.7575,,0.096137431,0.545930772,0.248647193,0.60091213,0.150440677,52076,9894,,53972.75749
Sagaing,MMR005,Sagaing,Myaung,MMR005003,MMR005003,115460.3366,,0.096137431,0.555629925,0.258759384,0.586839745,0.154400871,70789,13450,,31221.33661
Sagaing,MMR005,Shwebo,Shwebo,MMR005004,MMR005004,286642.3947,,0.096137431,0.539318332,0.272916709,0.602726643,0.124356648,61940,11769,,212933.3947
Sagaing,MMR005,Shwebo,Khin-U,MMR005005,MMR005005,156828.5527,,0.096137431,0.538832315,0.290543158,0.586432646,0.123024196,23981,4556,,128291.5527
Sagaing,MMR005,Shwebo,Wetlet,MMR005006,MMR005006,211850.2732,,0.096137431,0.544128728,0.26521701,0.589948156,0.144834834,13607,2585,,195658.2732
Sagaing,MMR005,Kanbalu,Kanbalu,MMR005007,MMR005007,313642.0613,,0.096137431,0.527780745,0.331834314,0.570346825,0.097818861,5843,1110,,306689.0613
Sagaing,MMR005,Kanbalu,Kyunhla,MMR005008,MMR005008,110468.4511,,0.096137431,0.510081987,0.323219123,0.582520962,0.094259915,28628,5439,,76401.45106
Sagaing,MMR005,Shwebo,Ye-U,MMR005009,MMR005009,127102.0596,,0.096137431,0.568772165,0.313629443,0.540811432,0.145559124,50961,9683,,66458.05964
Sagaing,MMR005,Shwebo,Tabayin,MMR005010,MMR005010,150943.8908,,0.096137431,0.545514953,0.313512525,0.552123478,0.134363997,120828,22957,,7158.890813
Sagaing,MMR005,Shwebo,Taze,MMR005011,MMR005011,176858.5159,,0.096137431,0.563837025,0.325598327,0.537626977,0.136774695,103052,19580,,54226.51588
Sagaing,MMR005,Monywa,Monywa,MMR005012,MMR005012,399023.4257,,0.096137431,0.540771928,0.271252182,0.607540894,0.121206924,80,15,,398928.4257
Sagaing,MMR005,Monywa,Budalin,MMR005013,MMR005013,133413.3719,,0.096137431,0.558117866,0.292149258,0.557423022,0.15042772,66269,12591,,54553.37193
Sagaing,MMR005,Monywa,Ayadaw,MMR005014,MMR005014,167727.3669,,0.096137431,0.548921643,0.27343728,0.585916165,0.140646555,37954,7211,,122562.3669
Sagaing,MMR005,Monywa,Chaung-U,MMR005015,MMR005015,114110.0397,,0.096137431,0.545935935,0.269524584,0.591929464,0.138545951,5609,1066,,107435.0397
Sagaing,MMR005,Yinmarbin,Yinmarbin,MMR005016,MMR005016,151485.8608,,0.096137431,0.535656274,0.302092092,0.57291605,0.124991858,63173,12003,,76309.86078
Sagaing,MMR005,Yinmarbin,Kani,MMR005017,MMR005017,143747.6209,,0.096137431,0.537460576,0.321615567,0.561510104,0.116874329,28712,5455,,109580.6209
Sagaing,MMR005,Yinmarbin,Salingyi,MMR005018,MMR005018,131185.3915,,0.096137431,0.545438119,0.278828207,0.584168318,0.137003475,8590,1632,,120963.3915
Sagaing,MMR005,Yinmarbin,Pale,MMR005019,MMR005019,154347.5051,,0.096137431,0.538052892,0.305747988,0.563549249,0.130702764,123478,23461,,7408.505124
Sagaing,MMR005,Katha,Katha,MMR005020,MMR005020,176968.7521,,0.096137431,0.510748914,0.36672271,0.552203422,0.081073868,1414,269,,175285.7521
Sagaing,MMR005,Katha,Indaw,MMR005021,MMR005021,127650.2686,,0.096137431,0.530436154,0.356869939,0.543346438,0.099783623,2381,452,,124817.2686
Sagaing,MMR005,Katha,Tigyaing,MMR005022,MMR005022,137740.0411,,0.096137431,0.510810214,0.337494567,0.573587835,0.088917598,28,5,,137707.0411
Sagaing,MMR005,Katha,Banmauk,MMR005023,MMR005023,118833.9225,,0.096137431,0.493687499,0.377232393,0.547163665,0.075603942,1188,226,,117419.9225
Sagaing,MMR005,Kawlin,Kawlin,MMR005024,MMR005024,155231.4345,,0.096137431,0.521628548,0.299092757,0.59823876,0.102668483,42143,8007,,105081.4345
Sagaing,MMR005,Kawlin,Wuntho,MMR005025,MMR005025,78158.07567,,0.096137431,0.519029357,0.334437016,0.569222848,0.096340137,18554,3525,,56079.07567
Sagaing,MMR005,Kawlin,Pinlebu,MMR005026,MMR005026,118760.8741,,0.096137431,0.535094623,0.357717861,0.546902105,0.095380034,36493,6934,,75333.87415
Sagaing,MMR005,Kale,Kale,MMR005027,MMR005027,370046.6676,,0.096137431,0.520154615,0.341751857,0.565265757,0.092982385,80418,15279,,274349.6676
Sagaing,MMR005,Kale,Kalewa,MMR005028,MMR005028,59991.55016,,0.096137431,0.509583833,0.324119334,0.582200775,0.093679891,600,114,,59277.55016
Sagaing,MMR005,Kale,Mingin,MMR005029,MMR005029,111080.6828,,0.096137431,0.520526719,0.333041423,0.566918775,0.100039803,65349,12416,,33315.6828
Sagaing,MMR005,Tamu,Tamu,MMR005030,MMR005030,121127.0837,,0.096137431,0.504416388,0.386919822,0.536491927,0.076588252,24,5,,121098.0837
Sagaing,MMR005,Mawlaik,Mawlaik,MMR005031,MMR005031,54502.48066,,0.096137431,0.513232467,0.348298003,0.552609463,0.099092534,11,2,,54489.48066
Sagaing,MMR005,Mawlaik,Paungbyin,MMR005032,MMR005032,119166.4401,,0.096137431,0.524110214,0.395419861,0.51012098,0.094459158,1192,226,,117748.4401
Sagaing,MMR005,Hkamti,Hkamti,MMR005033,MMR005033,50079.50985,,0.096137431,0.434897871,0.340655667,0.606554479,0.052789854,501,95,,49483.50985
Sagaing,MMR005,Hkamti,Homalin,MMR005034,MMR005034,270724.3605,,0.096137431,0.483359195,0.385198173,0.553046287,0.06175554,0,0,,270724.3605
Sagaing,MMR005,Naga Self-Administered Zone,Lay Shi,MMR005035,MMR005035,17130.20821,,0.096137431,0.512103299,0.431636912,0.498356654,0.070006433,0,0,,17130.20821
Sagaing,MMR005,Naga Self-Administered Zone,Lahe,MMR005036,MMR005036,50785.90406,,0.096137431,0.499096602,0.446820374,0.474730512,0.078449114,0,0,,50785.90406
Sagaing,MMR005,Naga Self-Administered Zone,Nanyun,MMR005037,MMR005037,54470.4648,,0.096137431,0.486227102,0.442831358,0.487882156,0.069286486,0,0,,54470.4648
Tanintharyi,MMR006,Dawei,Dawei,MMR006001,MMR006001,160970.753,,0.11591689,0.523146963,0.313530367,0.563018798,0.123450834,6178,1174,,153618.753
Tanintharyi,MMR006,Dawei,Launglon,MMR006002,MMR006002,129467.8583,,0.11591689,0.534546989,0.363265697,0.489344446,0.147389857,26,5,,129436.8583
Tanintharyi,MMR006,Dawei,Thayetchaung,MMR006003,MMR006003,115291.0587,,0.11591689,0.527367107,0.365378178,0.491890355,0.142731467,31826,6047,,77418.05867
Tanintharyi,MMR006,Dawei,Yebyu,MMR006004,MMR006004,132830.9526,,0.11591689,0.493544815,0.367442119,0.52538998,0.107167901,6619,1258,,124953.9526
Tanintharyi,MMR006,Myeik,Myeik,MMR006005,MMR006005,308243.6298,,0.11591689,0.512140679,0.350857744,0.5551012,0.094041056,848,161,,307234.6298
Tanintharyi,MMR006,Myeik,Kyunsu,MMR006006,MMR006006,183848.5576,,0.11591689,0.489992897,0.417546663,0.518504561,0.063948775,0,0,,183848.5576
Tanintharyi,MMR006,Myeik,Palaw,MMR006007,MMR006007,140533.9285,,0.11591689,0.514084396,0.398933054,0.498074383,0.102992563,6384,1213,,132936.9285
Tanintharyi,MMR006,Myeik,Tanintharyi,MMR006008,MMR006008,114700.5616,,0.11591689,0.488911804,0.400126595,0.5262591,0.073614305,13400,2546,,98754.56162
Tanintharyi,MMR006,Kawthoung,Kawthoung,MMR006009,MMR006009,151222.1748,,0.11591689,0.485830711,0.356124437,0.567109855,0.076765707,0,0,,151222.1748
Tanintharyi,MMR006,Kawthoung,Bokpyin,MMR006010,MMR006010,87247.52526,,0.11591689,0.46584154,0.399923392,0.546571075,0.053505533,614,117,,86516.52526
Bago (East),MMR111,Bago,Bago,MMR007001,MMR007001,500087.8011,,0.125583434,0.525326285,0.314185866,0.574240849,0.111573285,5001,950,,494136.8011
Bago (East),MMR111,Bago,Thanatpin,MMR007002,MMR007002,146303.6844,,0.125583434,0.528167649,0.373719615,0.517040973,0.109239412,0,0,,146303.6844
Bago (East),MMR111,Bago,Kawa,MMR007003,MMR007003,199548.6958,,0.125583434,0.529061831,0.356306127,0.527496697,0.116197176,0,0,,199548.6958
Bago (East),MMR111,Bago,Waw,MMR007004,MMR007004,177665.3708,,0.125583434,0.528949273,0.372055943,0.515533527,0.11241053,0,0,,177665.3708
Bago (East),MMR111,Bago,Nyaunglebin,MMR007005,MMR007005,202766.4611,,0.125583434,0.5310921,0.327511474,0.55622206,0.116266466,4501,855,,197410.4611
Bago (East),MMR111,Bago,Kyauktaga,MMR007006,MMR007006,252902.0255,,0.125583434,0.525581645,0.358794177,0.544813242,0.096392581,1127,214,,251561.0255
Bago (East),MMR111,Bago,Daik-U,MMR007007,MMR007007,205038.5659,,0.125583434,0.528806606,0.338340808,0.553722236,0.107936956,0,0,,205038.5659
Bago (East),MMR111,Bago,Shwegyin,MMR007008,MMR007008,107901.9179,,0.125583434,0.509310862,0.367348254,0.543046975,0.089604771,191,36,,107674.9179
Bago (East),MMR111,Taungoo,Taungoo,MMR007009,MMR007009,267279.7629,,0.125583434,0.527306003,0.304434647,0.577953733,0.11761162,4585,871,,261823.7629
Bago (East),MMR111,Taungoo,Yedashe,MMR007010,MMR007010,216257.8718,,0.125583434,0.520599345,0.326655905,0.566806222,0.106537872,0,0,,216257.8718
Bago (East),MMR111,Taungoo,Kyaukkyi,MMR007011,MMR007011,113765.4305,,0.125583434,0.525181511,0.387776938,0.511122342,0.10110072,72872,13846,,27047.4305
Bago (East),MMR111,Taungoo,Phyu,MMR007012,MMR007012,260566.6057,,0.125583434,0.533757692,0.340491165,0.546150552,0.113358283,6001,1140,,253425.6057
Bago (East),MMR111,Taungoo,Oktwin,MMR007013,MMR007013,161706.9219,,0.125583434,0.532611513,0.338100904,0.551672422,0.110226674,490,93,,161123.9219
Bago (East),MMR111,Taungoo,Htantabin,MMR007014,MMR007014,118503.832,,0.125583434,0.532768744,0.352622606,0.536020474,0.111356919,2046,389,,116068.832
Bago (West),MMR111,Pyay,Pyay,MMR008001,MMR008001,259960.5467,,0.125583434,0.529488619,0.235105961,0.625593181,0.139300858,0,0,,259960.5467
Bago (West),MMR111,Pyay,Paukkhaung,MMR008002,MMR008002,127549.4811,,0.125583434,0.515756171,0.263094347,0.616788821,0.120116831,0,0,,127549.4811
Bago (West),MMR111,Pyay,Padaung,MMR008003,MMR008003,149187.8096,,0.125583434,0.524487942,0.243166368,0.603569746,0.153263885,0,0,,149187.8096
Bago (West),MMR111,Pyay,Paungde,MMR008004,MMR008004,142452.0253,,0.125583434,0.52451797,0.234410832,0.610552681,0.155036487,0,0,,142452.0253
Bago (West),MMR111,Pyay,Thegon,MMR008005,MMR008005,136274.9731,,0.125583434,0.535020084,0.21706681,0.614178404,0.168754786,0,0,,136274.9731
Bago (West),MMR111,Pyay,Shwedaung,MMR008006,MMR008006,126700.8498,,0.125583434,0.540851754,0.228738531,0.60224771,0.169013759,0,0,,126700.8498
Bago (West),MMR111,Thayarwady,Thayarwady,MMR008007,MMR008007,154502.9572,,0.125583434,0.524020724,0.304586681,0.559225248,0.136188071,0,0,,154502.9572
